Medicine Name,Generic Name,Category,Manufacturer,Batch Number,Stock Quantity,Unit Price,Expiry Date,Minimum Stock Level,Rack Location,Prescription Required,Description
Paracetamol 500mg,Acetaminophen,Analgesic,Sun Pharma,PCT2024001,150,12.50,2026-08-15,50,A1-B2,No,Pain reliever and fever reducer tablets
Crocin 650mg,Acetaminophen,Analgesic,GSK,CRC2024002,80,18.75,2026-09-20,30,A1-B3,No,Extra strength pain and fever relief
Azithromycin 250mg,Azithromycin,Antibiotic,Cipla,AZT2024003,45,125.00,2025-12-30,20,B2-C1,Yes,Broad spectrum antibiotic for bacterial infections
Amoxicillin 500mg,Amoxicillin,Antibiotic,Dr. Reddy's,AMX2024004,65,89.50,2026-01-15,25,B2-C2,Yes,Beta-lactam antibiotic for various infections
Metformin 500mg,Metformin HCl,Antidiabetic,Lupin,MET2024005,200,45.25,2026-07-10,75,C1-D1,Yes,Type 2 diabetes management medication
Lisinopril 10mg,Lisinopril,ACE Inhibitor,Ranbaxy,LIS2024006,90,78.30,2025-11-25,35,C2-D2,Yes,Blood pressure and heart condition treatment
Omeprazole 20mg,Omeprazole,Proton Pump Inhibitor,Aurobindo,OMP2024007,120,32.75,2026-06-05,40,D1-E1,Yes,Gastric acid reduction for ulcers and GERD
Cetirizine 10mg,Cetirizine HCl,Antihistamine,Alkem,CET2024008,180,15.60,2026-10-12,60,E1-F1,No,Allergy and hay fever treatment
Losartan 50mg,Losartan Potassium,ARB,Torrent,LOS2024009,110,95.40,2025-10-30,40,D2-E2,Yes,Hypertension and kidney protection
Atorvastatin 20mg,Atorvastatin,Statin,Zydus,ATO2024010,75,156.75,2026-03-18,30,E2-F2,Yes,Cholesterol management medication
Salbutamol Inhaler,Salbutamol,Bronchodilator,Cipla,SAL2024011,35,189.50,2025-09-22,15,F1-G1,Yes,Asthma and COPD rescue inhaler
Diclofenac 50mg,Diclofenac Sodium,NSAID,Mankind,DIC2024012,95,28.90,2026-04-25,35,F2-G2,Yes,Anti-inflammatory pain relief
Pantoprazole 40mg,Pantoprazole,Proton Pump Inhibitor,Abbott,PAN2024013,140,67.80,2026-02-08,50,G1-H1,Yes,Advanced acid reflux treatment
Montelukast 10mg,Montelukast Sodium,Leukotriene Receptor Antagonist,MSN Labs,MON2024014,85,234.60,2025-12-15,25,G2-H2,Yes,Asthma and allergic rhinitis prevention
Levothyroxine 100mcg,Levothyroxine Sodium,Thyroid Hormone,Mylan,LEV2024015,160,89.25,2026-08-30,60,H1-I1,Yes,Hypothyroidism treatment
Aspirin 75mg,Acetylsalicylic Acid,Antiplatelet,Bayer,ASP2024016,220,8.45,2027-01-10,80,A2-B1,No,Cardiovascular protection low dose
Ibuprofen 400mg,Ibuprofen,NSAID,Johnson & Johnson,IBU2024017,130,22.35,2026-05-14,45,B1-C3,No,Pain inflammation and fever reducer
Calcium Carbonate 500mg,Calcium Carbonate,Mineral Supplement,Himalaya,CAL2024018,190,25.80,2026-11-20,70,I1-J1,No,Calcium deficiency and bone health
Vitamin D3 60000 IU,Cholecalciferol,Vitamin Supplement,Mankind,VIT2024019,105,145.60,2026-07-28,40,I2-J2,No,Vitamin D deficiency treatment
Furosemide 40mg,Furosemide,Diuretic,Sun Pharma,FUR2024020,70,34.70,2025-11-08,25,J1-K1,Yes,Fluid retention and hypertension
Ranitidine 150mg,Ranitidine HCl,H2 Receptor Antagonist,Glenmark,RAN2024021,55,45.90,2025-10-15,20,J2-K2,Yes,Gastric acid reduction alternative
Prednisolone 5mg,Prednisolone,Corticosteroid,Cadila,PRE2024022,60,56.80,2026-01-22,20,K1-L1,Yes,Anti-inflammatory steroid medication
Amlodipine 5mg,Amlodipine Besylate,Calcium Channel Blocker,Pfizer,AML2024023,125,78.95,2026-06-18,45,K2-L2,Yes,Hypertension and angina treatment
Gabapentin 300mg,Gabapentin,Anticonvulsant,Intas,GAB2024024,40,189.75,2025-09-30,15,L1-M1,Yes,Neuropathic pain and epilepsy
Warfarin 2mg,Warfarin Sodium,Anticoagulant,Cipla,WAR2024025,30,234.50,2026-04-12,10,L2-M2,Yes,Blood clot prevention medication
Insulin Glargine 100IU,Insulin Glargine,Long Acting Insulin,Sanofi,INS2024026,25,1850.00,2025-08-20,10,M1-N1,Yes,Long-acting diabetes insulin injection
Hydrocortisone Cream 1%,Hydrocortisone,Topical Corticosteroid,GSK,HYD2024027,80,67.40,2026-09-08,30,N1-O1,No,Skin inflammation and eczema treatment
Loratadine 10mg,Loratadine,Antihistamine,Teva,LOR2024028,175,18.90,2026-12-05,65,O1-P1,No,Non-drowsy allergy relief
Simvastatin 20mg,Simvastatin,Statin,Dr. Reddy's,SIM2024029,85,98.60,2026-03-28,30,O2-P2,Yes,Cholesterol lowering medication
Tramadol 50mg,Tramadol HCl,Opioid Analgesic,Sun Pharma,TRA2024030,45,156.80,2025-10-25,15,P1-Q1,Yes,Moderate to severe pain management
